iteration:epoch=>133, loss=0.000125, best_epoch=132, best_VMSE=0.000125
iteration:epoch=>134, loss=0.000125, best_epoch=133, best_VMSE=0.000125
iteration:epoch=>135, loss=0.000124, best_epoch=134, best_VMSE=0.000124
iteration:epoch=>136, loss=0.000123, best_epoch=135, best_VMSE=0.000123
iteration:epoch=>137, loss=0.000122, best_epoch=136, best_VMSE=0.000122
iteration:epoch=>138, loss=0.000122, best_epoch=137, best_VMSE=0.000122
iteration:epoch=>139, loss=0.000121, best_epoch=138, best_VMSE=0.000121
iteration:epoch=>140, loss=0.000121, best_epoch=139, best_VMSE=0.000121
iteration:epoch=>141, loss=0.00012, best_epoch=140, best_VMSE=0.00012
iteration:epoch=>142, loss=0.000119, best_epoch=141, best_VMSE=0.000119
iteration:epoch=>143, loss=0.000119, best_epoch=142, best_VMSE=0.000119
iteration:epoch=>144, loss=0.000118, best_epoch=143, best_VMSE=0.000118
iteration:epoch=>145, loss=0.000118, best_epoch=144, best_VMSE=0.000118
iteration:epoch=>146, loss=0.000117, best_epoch=145, best_VMSE=0.000117
iteration:epoch=>147, loss=0.000117, best_epoch=146, best_VMSE=0.000117
iteration:epoch=>148, loss=0.000116, best_epoch=147, best_VMSE=0.000116
iteration:epoch=>149, loss=0.000115, best_epoch=148, best_VMSE=0.000115
iteration:epoch=>150, loss=0.000115, best_epoch=149, best_VMSE=0.000115
iteration:epoch=>151, loss=0.000114, best_epoch=150, best_VMSE=0.000114
iteration:epoch=>152, loss=0.000114, best_epoch=151, best_VMSE=0.000114
iteration:epoch=>153, loss=0.000114, best_epoch=152, best_VMSE=0.000114
iteration:epoch=>154, loss=0.000113, best_epoch=153, best_VMSE=0.000113
iteration:epoch=>155, loss=0.000113, best_epoch=154, best_VMSE=0.000113
iteration:epoch=>156, loss=0.000112, best_epoch=155, best_VMSE=0.000112
iteration:epoch=>157, loss=0.000112, best_epoch=156, best_VMSE=0.000112
iteration:epoch=>158, loss=0.000111, best_epoch=157, best_VMSE=0.000111
iteration:epoch=>159, loss=0.000111, best_epoch=158, best_VMSE=0.000111
iteration:epoch=>160, loss=0.000111, best_epoch=159, best_VMSE=0.000111
iteration:epoch=>161, loss=0.00011, best_epoch=160, best_VMSE=0.00011
iteration:epoch=>162, loss=0.00011, best_epoch=161, best_VMSE=0.00011
iteration:epoch=>163, loss=0.000109, best_epoch=162, best_VMSE=0.000109
iteration:epoch=>164, loss=0.000109, best_epoch=163, best_VMSE=0.000109
iteration:epoch=>165, loss=0.000109, best_epoch=164, best_VMSE=0.000109
iteration:epoch=>166, loss=0.000108, best_epoch=165, best_VMSE=0.000108
iteration:epoch=>167, loss=0.000108, best_epoch=166, best_VMSE=0.000108
iteration:epoch=>168, loss=0.000108, best_epoch=167, best_VMSE=0.000108
iteration:epoch=>169, loss=0.000107, best_epoch=168, best_VMSE=0.000107
